state,value,amount
Hokkaido,1325,1
Aomori,1570,1
Iwate,1634,1
Miyagi,1444,1
Akita,1891,1
Yamagata,1419,1
Fukushima,1519,1
Ibaraki,1531,1
Tochigi,1718,1
Gunma,1491,1
Saitama,1337,1
Chiba,1525,1
Tokyo,1680,1
Kanagawa,1856,1
Niigata,2072,2
Toyama,2786,2
Ishikawa,2859,2
Fukui,2717,2
Yamanashi,1320,1
Nagano,1058,1
Gifu,2440,2
Shizuoka,2846,2
Aichi,1730,1
Mie,1624,1
Shiga,1812,1
Kyoto,2061,2
Osaka,1568,1
Hyogo,1633,1
Nara,1588,1
Wakayama,1587,1
Tottori,1831,1
Shimane,1857,1
Okayama,1216,1
Hiroshima,1586,1
Yamaguchi,2084,2
Tokushima,1506,1
Kagawa,988,0
Ehime,1441,1
Koti,3093,3
Fukuoka,1729,1
Saga,1941,1
Nagasaki,1897,1
Kumamoto,2072,2
Oita,1298,1
Miyazaki,2811,2
Kagoshima,2942,2
Okinawa,2895,2
