state,value,amount
Hokkaido,1147,1
Aomori,1460,1
Iwate,1275,1
Miyagi,1304,1
Akita,1729,1
Yamagata,1002,1
Fukushima,1080,1
Ibaraki,1461,1
Tochigi,1394,1
Gunma,986,0
Saitama,1311,1
Chiba,1637,1
Tokyo,1802,1
Kanagawa,1894,1
Niigata,1793,1
Toyama,2224,2
Ishikawa,2292,2
Fukui,2067,2
Yamanashi,1023,1
Nagano,975,0
Gifu,1904,1
Shizuoka,2351,2
Aichi,1756,1
Mie,1524,1
Shiga,1422,1
Kyoto,1458,1
Osaka,1165,1
Hyogo,1198,1
Nara,1287,1
Wakayama,1516,1
Tottori,1852,1
Shimane,1615,1
Okayama,1074,1
Hiroshima,1487,1
Yamaguchi,2017,2
Tokushima,1601,1
Kagawa,987,0
Ehime,1303,1
Koti,2063,2
Fukuoka,1692,1
Saga,1704,1
Nagasaki,1801,1
Kumamoto,1565,1
Oita,1294,1
Miyazaki,2219,2
Kagoshima,1530,1
Okinawa,1864,1
