state,value,amount
Hokkaido,1275,1
Aomori,1004,1
Iwate,1094,1
Miyagi,1445,1
Akita,1491,1
Yamagata,1027,1
Fukushima,1284,1
Ibaraki,1227,1
Tochigi,1651,1
Gunma,1232,1
Saitama,1297,1
Chiba,1616,1
Tokyo,1782,1
Kanagawa,1836,1
Niigata,1468,1
Toyama,2141,2
Ishikawa,2165,2
Fukui,2300,2
Yamanashi,1115,1
Nagano,1058,1
Gifu,2267,2
Shizuoka,2805,2
Aichi,1803,1
Mie,1979,1
Shiga,1934,1
Kyoto,2043,2
Osaka,1649,1
Hyogo,1578,1
Nara,1512,1
Wakayama,1538,1
Tottori,1750,1
Shimane,1706,1
Okayama,1334,1
Hiroshima,1641,1
Yamaguchi,2061,2
Tokushima,1986,1
Kagawa,1210,1
Ehime,1687,1
Koti,2967,2
Fukuoka,1868,1
Saga,2083,2
Nagasaki,2392,2
Kumamoto,2292,2
Oita,1677,1
Miyazaki,3193,3
Kagoshima,3663,3
Okinawa,1425,1
