state,value,amount
Hokkaido,1158,1
Aomori,1388,1
Iwate,1410,1
Miyagi,1321,1
Akita,1935,1
Yamagata,1342,1
Fukushima,1203,1
Ibaraki,1127,1
Tochigi,1308,1
Gunma,1193,1
Saitama,1296,1
Chiba,1250,1
Tokyo,1430,1
Kanagawa,1629,1
Niigata,2037,2
Toyama,2700,2
Ishikawa,2703,2
Fukui,2507,2
Yamanashi,1076,1
Nagano,1194,1
Gifu,1864,1
Shizuoka,2108,2
Aichi,1702,1
Mie,1680,1
Shiga,1581,1
Kyoto,1470,1
Osaka,1276,1
Hyogo,1196,1
Nara,1291,1
Wakayama,1342,1
Tottori,2248,2
Shimane,1761,1
Okayama,1201,1
Hiroshima,1620,1
Yamaguchi,1764,1
Tokushima,1496,1
Kagawa,1516,1
Ehime,1530,1
Koti,2022,2
Fukuoka,1319,1
Saga,1634,1
Nagasaki,1778,1
Kumamoto,1818,1
Oita,1910,1
Miyazaki,2721,2
Kagoshima,2274,2
Okinawa,1907,1
